"496","경북","경산시","세명병원","경상북도 경산시 경안로 208 (중방동)","053-819-8500","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"497","경북","경산시","경산중앙병원","경상북도 경산시 경안로 11 (백천동)","053-715-0119","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"498","경북","경산시","경산시 보건소","경상북도 경산시 남매로 158 (중방동)","053-810-6314","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"499","경북","경주시","경주시 보건소","경상북도 경주시 양정로 300 (동천동)","054-779-8573","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"500","경북","경주시","경주시 주민건강지원센터","경주시 현곡면 용담로307","054-779-8668","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"501","경북","고령군","고령군보건소","경북 고령군 대가야읍 왕릉로 56-5 고령군보건소","054-954-1300","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"502","경북","고령군","고령영생병원","경상북도 고령군 대가야읍 중앙로 33","054-955-2661","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"503","경북","구미시","구미순천향병원","경상북도 구미시 1공단로 179 (공단동, (공단동))","054-468-9114","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"504","경북","구미시","구미차병원","경상북도 구미시 신시로10길 12 (형곡동)","054-450-9700","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"505","경북","구미시","구미강동병원","경상북도 구미시 인동20길 46 (진평동)","054-453-7575","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"506","경북","구미시","구미시 구미보건소","경상북도 구미시 선산대로 111 (지산동)","054-480-4032","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"507","경북","군위군 ","군위군보건소","경상북도 군위군 군위읍 군청로 70","054-383-4000","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"508","경북","김천시","김천의료원","경상북도 김천시 모암길 24 (모암동)","054-432-8901","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
"509","경북","김천시","김천제일병원","경상북도 김천시 신음1길 12 (신음동)","054-420-9440","pyeonggangkim@gmail.com","2020-03-16 14:14:22"
